2026-03-03-15-38-08 - 0000	 - IoU 0.1146	 - PD 0.4286	 - FA 322.0288
2026-03-03-15-46-02 - 0012	 - IoU 0.4873	 - PD 0.0688	 - FA 84.3409
2026-03-03-15-49-58 - 0018	 - IoU 0.5337	 - PD 0.0464	 - FA 34.3892
2026-03-03-15-51-22 - 0020	 - IoU 0.5392	 - PD 0.0426	 - FA 37.9572
2026-03-03-15-54-38 - 0025	 - IoU 0.5428	 - PD 0.0351	 - FA 37.8054
2026-03-03-15-56-31 - 0028	 - IoU 0.5699	 - PD 0.0316	 - FA 48.8129
2026-03-03-16-04-27 - 0040	 - IoU 0.5731	 - PD 0.0226	 - FA 32.7950
2026-03-03-16-17-01 - 0057	 - IoU 0.5823	 - PD 0.0158	 - FA 16.7012
2026-03-03-16-24-12 - 0067	 - IoU 0.5907	 - PD 0.0134	 - FA 33.4782
2026-03-03-16-26-27 - 0070	 - IoU 0.6043	 - PD 0.0128	 - FA 31.2767
2026-03-03-16-27-15 - 0071	 - IoU 0.6075	 - PD 0.0128	 - FA 40.0069
2026-03-03-16-36-42 - 0084	 - IoU 0.6076	 - PD 0.0107	 - FA 13.1332
2026-03-03-16-41-06 - 0090	 - IoU 0.6125	 - PD 0.0101	 - FA 18.1435
2026-03-03-16-46-57 - 0098	 - IoU 0.6205	 - PD 0.0095	 - FA 31.9600
2026-03-03-17-09-47 - 0129	 - IoU 0.6210	 - PD 0.0070	 - FA 6.9082
2026-03-03-17-16-18 - 0138	 - IoU 0.6214	 - PD 0.0067	 - FA 10.5521
