2026-03-03-17-42-54 - 0000	 - IoU 0.0010	 - PD 0.2928	 - FA 489701.1730
2026-03-03-17-43-15 - 0002	 - IoU 0.0017	 - PD 0.1027	 - FA 113541.0059
2026-03-03-17-43-44 - 0005	 - IoU 0.0027	 - PD 0.1103	 - FA 165012.6092
2026-03-03-17-44-13 - 0008	 - IoU 0.0034	 - PD 0.0929	 - FA 149260.7616
2026-03-03-17-44-23 - 0009	 - IoU 0.0056	 - PD 0.0913	 - FA 90754.2148
2026-03-03-17-44-41 - 0011	 - IoU 0.0170	 - PD 0.0583	 - FA 13901.8264
2026-03-03-17-45-10 - 0014	 - IoU 0.2110	 - PD 0.0421	 - FA 228.8105
2026-03-03-17-45-38 - 0017	 - IoU 0.3164	 - PD 0.0441	 - FA 351.5226
2026-03-03-17-47-21 - 0028	 - IoU 0.3328	 - PD 0.0326	 - FA 609.3533
2026-03-03-17-48-55 - 0038	 - IoU 0.4153	 - PD 0.0244	 - FA 481.2936
2026-03-03-17-49-23 - 0041	 - IoU 0.4588	 - PD 0.0224	 - FA 370.3465
2026-03-03-17-50-29 - 0048	 - IoU 0.4663	 - PD 0.0199	 - FA 367.2092
2026-03-03-17-50-38 - 0049	 - IoU 0.4666	 - PD 0.0197	 - FA 391.8799
2026-03-03-17-50-57 - 0051	 - IoU 0.4924	 - PD 0.0185	 - FA 296.6908
2026-03-03-17-51-06 - 0052	 - IoU 0.5184	 - PD 0.0179	 - FA 238.4364
2026-03-03-17-52-50 - 0063	 - IoU 0.5309	 - PD 0.0154	 - FA 275.5138
2026-03-03-17-53-18 - 0066	 - IoU 0.5908	 - PD 0.0146	 - FA 166.0641
2026-03-03-17-55-49 - 0082	 - IoU 0.6267	 - PD 0.0117	 - FA 120.7869
2026-03-03-17-58-11 - 0097	 - IoU 0.6428	 - PD 0.0100	 - FA 113.2288
2026-03-03-18-02-28 - 0117	 - IoU 0.6457	 - PD 0.0081	 - FA 76.8644
2026-03-03-18-03-50 - 0122	 - IoU 0.6461	 - PD 0.0077	 - FA 62.4612
2026-03-03-18-05-08 - 0127	 - IoU 0.6512	 - PD 0.0075	 - FA 99.2534
2026-03-03-18-06-13 - 0131	 - IoU 0.6565	 - PD 0.0072	 - FA 78.0052
2026-03-03-18-06-29 - 0132	 - IoU 0.6837	 - PD 0.0071	 - FA 41.4982
2026-03-03-18-12-22 - 0154	 - IoU 0.6874	 - PD 0.0062	 - FA 44.7068
