2026-03-06-19-20-22 - 0000	 - IoU 0.0005	 - PD 0.3844	 - FA 541224.6173
2026-03-06-19-20-48 - 0001	 - IoU 0.0005	 - PD 0.1344	 - FA 426646.7498
2026-03-06-19-21-14 - 0002	 - IoU 0.0014	 - PD 0.1769	 - FA 128321.1779
2026-03-06-19-23-00 - 0006	 - IoU 0.0189	 - PD 0.1093	 - FA 9960.0417
2026-03-06-19-23-27 - 0007	 - IoU 0.2737	 - PD 0.0974	 - FA 360.0619
2026-03-06-19-24-22 - 0009	 - IoU 0.3337	 - PD 0.0714	 - FA 175.2863
2026-03-06-19-24-49 - 0010	 - IoU 0.4374	 - PD 0.0717	 - FA 99.3719
2026-03-06-19-26-38 - 0014	 - IoU 0.4610	 - PD 0.0560	 - FA 54.7343
2026-03-06-19-27-32 - 0016	 - IoU 0.4669	 - PD 0.0490	 - FA 47.8261
2026-03-06-19-29-20 - 0020	 - IoU 0.4968	 - PD 0.0428	 - FA 79.3305
2026-03-06-19-31-09 - 0024	 - IoU 0.5276	 - PD 0.0358	 - FA 39.9310
2026-03-06-19-33-51 - 0030	 - IoU 0.5299	 - PD 0.0294	 - FA 85.3278
2026-03-06-19-34-18 - 0031	 - IoU 0.5345	 - PD 0.0285	 - FA 63.0089
2026-03-06-19-37-02 - 0037	 - IoU 0.5418	 - PD 0.0242	 - FA 62.0980
2026-03-06-19-38-53 - 0041	 - IoU 0.5734	 - PD 0.0220	 - FA 61.9461
2026-03-06-19-50-10 - 0066	 - IoU 0.5830	 - PD 0.0137	 - FA 43.6508
2026-03-06-19-56-58 - 0081	 - IoU 0.5868	 - PD 0.0111	 - FA 52.4568
2026-03-06-20-05-34 - 0100	 - IoU 0.5932	 - PD 0.0092	 - FA 36.6666
2026-03-06-20-15-58 - 0123	 - IoU 0.5948	 - PD 0.0075	 - FA 51.8495
2026-03-06-20-17-44 - 0127	 - IoU 0.6040	 - PD 0.0071	 - FA 14.2719
2026-03-06-20-36-17 - 0168	 - IoU 0.6066	 - PD 0.0055	 - FA 17.0048
2026-03-06-20-41-15 - 0179	 - IoU 0.6116	 - PD 0.0052	 - FA 46.7633
2026-03-06-20-43-30 - 0184	 - IoU 0.6283	 - PD 0.0050	 - FA 34.7688
2026-03-06-20-47-07 - 0192	 - IoU 0.6557	 - PD 0.0048	 - FA 17.5362
2026-03-06-22-16-22 - 0390	 - IoU 0.6624	 - PD 0.0024	 - FA 16.8530
